札番号,単語数,総文字数,統一分母,単語リスト
45,45,127,262,あはれ/はれと/れとも/いふべ/ふべき/べき人/き人は/思ほえ/ほえで/べきひ/きひと/ひとは/おもほ/もほえ/あわれ/あはれと/はれとも/いふべき/ふべき人/べき人は/思ほえで/ふべきひ/べきひと/きひとは/おもほえ/もほえで/あは/はれ/れと/とも/いふ/ふべ/べき/き人/人は/思ほ/ほえ/えで/きひ/ひと/とは/おも/もほ/あわ/われ
46,54,152,262,ゆら/由良の/良の門/の門を/渡る舟/る舟人/かぢを/ぢを絶/を絶え/ゆらの/らのと/のとを/わたる/たるふ/るふな/ふなび/なびと/ぢをた/をたえ/由良の門/良の門を/渡る舟人/かぢを絶/ぢを絶え/ゆらのと/らのとを/わたるふ/たるふな/るふなび/ふなびと/かぢをた/ぢをたえ/由良/良の/の門/門を/渡る/る舟/舟人/かぢ/ぢを/を絶/絶え/らの/のと/とを/わた/たる/るふ/ふな/なび/びと/をた/たえ
47,46,131,262,やへ/八重む/重むぐ/むぐら/しげれ/げれる/れる宿/る宿の/さびし/びしき/しきに/やへむ/へむぐ/れるや/るやど/やどの/八重むぐ/重むぐら/しげれる/げれる宿/れる宿の/さびしき/びしきに/やへむぐ/へむぐら/げれるや/れるやど/るやどの/八重/重む/むぐ/ぐら/しげ/げれ/れる/る宿/宿の/さび/びし/しき/きに/へむ/るや/やど/どの/やえ
48,47,134,262,かぜを/風をい/をいた/いたみ/岩うつ/うつ波/つ波の/おのれ/のれの/れのみ/ぜをい/いはう/はうつ/うつな/つなみ/なみの/風をいた/をいたみ/岩うつ波/うつ波の/おのれの/のれのみ/かぜをい/ぜをいた/いはうつ/はうつな/うつなみ/つなみの/風を/をい/いた/たみ/岩う/うつ/つ波/波の/おの/のれ/れの/のみ/かぜ/ぜを/いは/はう/つな/なみ/みの
49,54,152,262,みかき/御垣守/衛士の/士のた/のたく/たく火/く火の/夜は燃/は燃え/かきも/きもり/ゑじの/じのた/たくひ/くひの/よるは/るはも/はもえ/衛士のた/士のたく/のたく火/たく火の/夜は燃え/みかきも/かきもり/ゑじのた/じのたく/のたくひ/たくひの/よるはも/るはもえ/御垣/垣守/衛士/士の/のた/たく/く火/火の/夜は/は燃/燃え/みか/かき/きも/もり/ゑじ/じの/くひ/ひの/よる/るは/はも/もえ
50,42,123,262,きみがため　を/君がた/がため/惜しか/しから/からざ/らざり/ざりし/命さへ/きみが/みがた/をしか/いのち/のちさ/ちさへ/君がため/惜しから/しからざ/からざり/らざりし/きみがた/みがため/をしから/いのちさ/のちさへ/君が/がた/ため/惜し/しか/から/らざ/ざり/りし/命さ/さへ/きみ/みが/をし/いの/のち/ちさ
51,45,129,262,かく/かくと/くとだ/とだに/えやは/やは伊/は伊吹/伊吹の/さしも/しも草/やはい/はいぶ/いぶき/ぶきの/しもぐ/もぐさ/かくとだ/くとだに/えやは伊/やは伊吹/は伊吹の/さしも草/えやはい/やはいぶ/はいぶき/いぶきの/さしもぐ/しもぐさ/くと/とだ/だに/えや/やは/は伊/伊吹/吹の/さし/しも/も草/はい/いぶ/ぶき/きの/もぐ/ぐさ
52,42,120,262,あけ/明けぬ/けぬれ/ぬれば/暮るる/るるも/るもの/ものと/のとは/知りな/りなが/ながら/あけぬ/くるる/しりな/明けぬれ/けぬれば/暮るるも/るるもの/るものと/ものとは/知りなが/りながら/あけぬれ/くるるも/しりなが/明け/けぬ/ぬれ/れば/暮る/るる/るも/もの/のと/とは/知り/りな/なが/がら/くる/しり
53,56,161,262,なげき/嘆きつ/きつつ/ひとり/とり寝/り寝る/寝る夜/る夜の/明くる/くる間/る間は/げきつ/とりね/りねる/ねるよ/るよの/あくる/くるま/るまは/嘆きつつ/ひとり寝/とり寝る/り寝る夜/寝る夜の/明くる間/くる間は/なげきつ/げきつつ/ひとりね/とりねる/りねるよ/ねるよの/あくるま/くるまは/嘆き/きつ/つつ/ひと/とり/り寝/寝る/る夜/夜の/明く/くる/る間/間は/なげ/げき/りね/ねる/るよ/よの/あく/るま/まは
54,44,127,262,わすれ/忘れじ/れじの/ゆく末/く末ま/末まで/までは/かたけ/たけれ/ければ/すれじ/ゆくす/くすゑ/すゑま/ゑまで/忘れじの/ゆく末ま/く末まで/末までは/かたけれ/たければ/わすれじ/すれじの/ゆくすゑ/くすゑま/すゑまで/ゑまでは/忘れ/れじ/じの/ゆく/く末/末ま/まで/では/かた/たけ/けれ/れば/わす/すれ/くす/すゑ/ゑま
55,52,148,262,たき/滝の音/の音は/絶えて/えて久/て久し/久しく/なりぬ/りぬれ/ぬれど/たきの/きのお/のおと/おとは/たえて/えてひ/てひさ/ひさし/さしく/滝の音は/絶えて久/えて久し/て久しく/なりぬれ/りぬれど/たきのお/きのおと/のおとは/たえてひ/えてひさ/てひさし/ひさしく/滝の/の音/音は/絶え/えて/て久/久し/しく/なり/りぬ/ぬれ/れど/きの/のお/おと/とは/たえ/てひ/ひさ/さし
56,47,134,262,あらざ/らざら/ざらむ/この世/の世の/世のほ/のほか/ほかの/思ひ出/ひ出に/このよ/のよの/よのほ/おもひ/もひで/ひでに/あらざら/らざらむ/この世の/の世のほ/世のほか/のほかの/思ひ出に/このよの/のよのほ/よのほか/おもひで/もひでに/あら/らざ/ざら/らむ/この/の世/世の/のほ/ほか/かの/思ひ/ひ出/出に/のよ/よの/おも/もひ/ひで/でに
57,54,155,262,め/めぐり/ぐり逢/り逢ひ/逢ひて/見しや/しやそ/やそれ/それと/れとも/わかぬ/かぬ間/ぬ間に/ぐりあ/りあひ/あひて/みしや/かぬま/ぬまに/めぐり逢/ぐり逢ひ/り逢ひて/見しやそ/しやそれ/やそれと/それとも/わかぬ間/かぬ間に/めぐりあ/ぐりあひ/りあひて/みしやそ/わかぬま/かぬまに/めぐ/ぐり/り逢/逢ひ/ひて/見し/しや/やそ/それ/れと/とも/わか/かぬ/ぬ間/間に/りあ/あひ/みし/ぬま/まに
58,50,139,262,ありま/有馬山/猪名の/名の笹/の笹原/風吹け/吹けば/りまや/まやま/ゐなの/なのさ/のささ/ささは/さはら/かぜふ/ぜふけ/ふけば/猪名の笹/名の笹原/風吹けば/ありまや/りまやま/ゐなのさ/なのささ/のささは/ささはら/かぜふけ/ぜふけば/有馬/馬山/猪名/名の/の笹/笹原/風吹/吹け/けば/あり/りま/まや/やま/ゐな/なの/のさ/ささ/さは/はら/かぜ/ぜふ/ふけ
59,44,125,262,やす/やすら/すらは/らはで/寝なま/なまし/ましも/しもの/ものを/さ夜更/夜更け/更けて/ねなま/さよふ/よふけ/ふけて/やすらは/すらはで/寝なまし/なましも/ましもの/しものを/さ夜更け/夜更けて/ねなまし/さよふけ/よふけて/すら/らは/はで/寝な/なま/まし/しも/もの/のを/さ夜/夜更/更け/けて/ねな/さよ/よふ/ふけ
