札番号,単語数,総文字数(現在の満点),登録単語リスト
82,21,94,おもひわび/わび/ちは/さても命は/おもひ/思ひ/さて/のを/思ひわび　さても命は　あるものを/あるものを/おも/命は/あるも/ある/おもい/さてもいのちは/思ひわ/思ひわび/さても/もい/おもひわび　さてもいのちは　あるものを
83,25,106,中よ/よの/よのなかよ　みちこそなけれ　おもひいる/みち/思ひ入る/かよ/道こそ/世の中よ　道こそなけれ　思ひ入る/おもひ/思ひ/世の中/おも/けれ/よのな/よのなかよ/世の/道こそなけれ/おもひいる/みちこ/いる/みちこそなけれ/世の中よ/思ひ入/道こ/入る
84,17,84,しのばれむ/ながら/長ら/れむ/ながらへば/また/またこのごろや/またこ/長らへば/長らへ/長らへば　またこのごろや　しのばれむ/しの/ろや/なが/へば/ながらへば　またこのごろや　しのばれむ/しのば
85,23,108,よもすがら　ものおもふころは　あけやらで/よも/明けや/あけやらで/明けやらで/ろは/らで/あけ/夜もすがら/夜も/ものお/よもす/夜もす/物思/物思ふ/明け/よもすがら/もの/夜もすがら　物思ふころは　明けやらで/あけや/物思ふころは/がら/ものおもふころは
86,24,102,なげ/嘆けとて　月やは物を　思はする/おもは/思はす/なげけ/つきや/物を/のを/思はする/おも/月やは物を/なげけとて/月やは/おもはする/つき/する/とて/嘆け/月や/嘆けと/思は/なげけとて　つきやはものを　おもはする/つきやはものを/嘆けとて
87,25,105,まきの/まき/露もま/むらさめの　つゆもまだひぬ　まきのはに/真木/露も/むらさめの/まきのはに/村雨の/ひぬ/真木の/むら/葉に/つゆ/村雨の　露もまだ干ぬ　真木の葉に/真木の葉に/めの/つゆも/むらさ/つゆもまだひぬ/村雨/雨の/はに/干ぬ/露もまだ干ぬ
88,22,100,あし/あしのかりねの/蘆のかりねの/ゆゑ/えの/難波/なには/ひとよゆゑ/ねの/蘆のか/難波江の　蘆のかりねの　ひとよゆゑ/難波江/あしの/難波江の/蘆の/江の/なにはえの/ひとよ/なにはえ/なにはえの　あしのかりねの　ひとよゆゑ/ひと/なに
89,21,98,絶えな/たまの/ながらへば/絶えなば絶えね/たえ/玉の緒よ/へば/たま/玉の/えね/ながら/玉の緒よ　絶えなば絶えね　ながらへば/なが/をよ/たまのをよ　たえなばたえね　ながらへば/たえなばたえね/絶え/玉の緒/緒よ/たえな/たまのをよ
90,24,106,見せばやな　雄島の海人の　袖だにも/みせばやな/をじ/見せ/やな/袖だにも/袖だ/みせばやな　をじまのあまの　そでだにも/をじま/そで/をじまのあまの/にも/袖だに/そでだにも/そでだ/見せばやな/みせば/雄島/見せば/人の/雄島の海人の/雄島の/まの/みせ
91,18,88,よの/鳴くや/きりぎりす　なくやしもよの　さむしろに/さむ/きりぎりす　鳴くや霜夜の　さむしろに/きり/なくや/鳴く/なくやしもよの/鳴くや霜夜の/夜の/なく/さむし/ろに/りす/さむしろに/きりぎ/きりぎりす
92,24,106,わが袖/袖は/潮干に見えぬ/わがそでは　しほひにみえぬ　おきのいしの/沖の石の/おき/では/わがそでは/えぬ/しほ/潮干/潮干に/しほひにみえぬ/しほひ/しの/わが袖は　潮干に見えぬ　沖の石の/石の/おきの/わがそ/わが袖は/わが/おきのいしの/沖の/沖の石
93,24,101,よの/渚漕ぐ/渚漕/もな/世の中/なぎさこぐ/こぐ/常にもがもな/つねに/よのな/世の/漕ぐ/常に/中は/つねにもがもな/よのなかは/世の中は/世の中は　常にもがもな　渚漕ぐ/つね/なぎ/よのなかは　つねにもがもな　なぎさこぐ/常にも/かは/なぎさ
94,24,102,み吉野の/み吉野/みよ/さよ更けて/さよふけて/みよしのの/みよしのの　やまのあきかぜ　さよふけて/やまのあきかぜ/やまの/み吉/さよふ/み吉野の　山の秋風　さよ更けて/野の/さよ/かぜ/さよ更/秋風/みよし/山の秋風/山の秋/山の/けて/やま/のの
95,20,93,憂き世/おおけ/民に/うき/うきよのたみに/みに/おお/おほけなく　うきよのたみに　おほふかな/おほけ/憂き/おほけなく/なく/おけ/おほ/かな/おほふ/おほけなく　憂き世の民に　おほふかな/おほふかな/憂き世の民に/うきよ
96,24,100,花さそふ　嵐の庭の　雪ならで/ゆきならで/庭の/はな/あら/嵐の/らで/はなさ/ゆきな/雪なら/ゆき/嵐の庭/はなさそふ/そふ/花さ/嵐の庭の/はの/雪ならで/はなさそふ　あらしのにはの　ゆきならで/雪な/花さそ/あらし/あらしのにはの/花さそふ
